,actions,means,stds
0,come,0.9499789967347851,0.035552825472175704
1,good,0.9555594700789893,0.025864246231736127
2,goodbye,0.930705769387583,0.03976908984425172
3,goodmorning,0.9282928010819995,0.03762041540590587
4,happy,0.9650202280604351,0.023370066847490455
5,hi,0.8972462279090063,0.04994542635278897
6,home,0.974044918023931,0.034015998369133604
7,iloveyou,0.9641418614329667,0.03851361449233827
8,me,0.8345580406294693,0.06576458336835234
9,sorry,0.9734039360525133,0.030441305639390914
10,thankyou,0.841984120426783,0.03537065466674801
11,you,0.898035603089595,0.05971339824686494
